time,host_cpu_%,host_ram_%,gpu_mem_MB,gpu_util_%,docker
23:41:48,19.4,95.1,154,6,kafka=10.12%/513.3MiB / 4.804GiB ; elasticsearch=7.75%/1.54GiB / 4.804GiB ; zookeeper=0.14%/98.21MiB / 4.804GiB
23:41:53,37.3,95.3,160,1,kafka=0.68%/502.7MiB / 4.804GiB ; elasticsearch=3.33%/1.538GiB / 4.804GiB ; zookeeper=0.14%/98.2MiB / 4.804GiB
23:41:57,18.4,94.9,157,2,kafka=0.76%/502.7MiB / 4.804GiB ; elasticsearch=3.91%/1.538GiB / 4.804GiB ; zookeeper=0.12%/98.2MiB / 4.804GiB
23:42:02,21.6,94.9,161,4,kafka=18.64%/502.7MiB / 4.804GiB ; elasticsearch=3.93%/1.538GiB / 4.804GiB ; zookeeper=0.26%/98.21MiB / 4.804GiB
23:42:06,30.5,94.8,155,2,kafka=0.86%/502.8MiB / 4.804GiB ; elasticsearch=4.10%/1.538GiB / 4.804GiB ; zookeeper=0.27%/98.21MiB / 4.804GiB
23:42:10,22.0,94.9,158,2,kafka=1.01%/503.1MiB / 4.804GiB ; elasticsearch=3.76%/1.538GiB / 4.804GiB ; zookeeper=0.12%/98.21MiB / 4.804GiB
23:42:14,32.6,95.3,156,2,kafka=0.80%/503.1MiB / 4.804GiB ; elasticsearch=3.71%/1.538GiB / 4.804GiB ; zookeeper=0.13%/98.21MiB / 4.804GiB
23:42:18,26.2,95.6,157,6,kafka=0.99%/503.1MiB / 4.804GiB ; elasticsearch=4.28%/1.538GiB / 4.804GiB ; zookeeper=0.59%/98.21MiB / 4.804GiB
23:42:23,19.4,95.3,163,2,kafka=183.11%/566.1MiB / 4.804GiB ; elasticsearch=3.75%/1.538GiB / 4.804GiB ; zookeeper=0.11%/98.21MiB / 4.804GiB
23:42:27,24.7,95.3,159,2,kafka=0.88%/503.1MiB / 4.804GiB ; elasticsearch=3.40%/1.538GiB / 4.804GiB ; zookeeper=0.50%/98.21MiB / 4.804GiB
23:42:32,20.7,95.1,159,4,kafka=1.57%/504.7MiB / 4.804GiB ; elasticsearch=3.33%/1.538GiB / 4.804GiB ; zookeeper=0.49%/98.21MiB / 4.804GiB
