time,host_cpu_%,host_ram_%,gpu_mem_MB,gpu_util_%,docker
13:13:29,17.8,73.3,522,31,kafka=24.84%/549.5MiB / 4.804GiB ; elasticsearch=2.41%/1.522GiB / 4.804GiB ; zookeeper=0.12%/95.44MiB / 4.804GiB
13:13:34,14.2,73.3,522,29,kafka=0.61%/549.5MiB / 4.804GiB ; elasticsearch=3.09%/1.521GiB / 4.804GiB ; zookeeper=0.12%/95.44MiB / 4.804GiB
13:13:37,14.3,72.9,523,30,kafka=58.31%/583.5MiB / 4.804GiB ; elasticsearch=2.27%/1.521GiB / 4.804GiB ; zookeeper=0.09%/95.44MiB / 4.804GiB
13:13:42,20.6,73.3,522,30,kafka=0.80%/549.5MiB / 4.804GiB ; elasticsearch=2.56%/1.522GiB / 4.804GiB ; zookeeper=0.10%/95.43MiB / 4.804GiB
13:13:46,11.8,73.6,522,29,kafka=0.78%/549.6MiB / 4.804GiB ; elasticsearch=16.20%/1.522GiB / 4.804GiB ; zookeeper=0.11%/95.44MiB / 4.804GiB
13:13:50,17.2,73.4,526,29,kafka=0.70%/549.6MiB / 4.804GiB ; elasticsearch=3.74%/1.522GiB / 4.804GiB ; zookeeper=0.11%/95.43MiB / 4.804GiB
13:13:55,14.8,73.4,526,28,kafka=0.81%/549.6MiB / 4.804GiB ; elasticsearch=2.59%/1.522GiB / 4.804GiB ; zookeeper=0.11%/95.44MiB / 4.804GiB
13:13:59,13.2,73.4,522,33,kafka=1.04%/550.5MiB / 4.804GiB ; elasticsearch=4.97%/1.522GiB / 4.804GiB ; zookeeper=0.44%/95.44MiB / 4.804GiB
13:14:04,20.8,73.4,523,29,kafka=0.77%/550.5MiB / 4.804GiB ; elasticsearch=9.40%/1.522GiB / 4.804GiB ; zookeeper=0.52%/95.44MiB / 4.804GiB
13:14:07,14.2,73.0,525,32,kafka=0.85%/550.5MiB / 4.804GiB ; elasticsearch=2.45%/1.522GiB / 4.804GiB ; zookeeper=0.10%/95.44MiB / 4.804GiB
13:14:12,18.6,73.2,527,32,kafka=0.83%/550.5MiB / 4.804GiB ; elasticsearch=4.31%/1.522GiB / 4.804GiB ; zookeeper=0.11%/95.44MiB / 4.804GiB
13:14:16,14.8,73.6,526,28,kafka=0.80%/550.5MiB / 4.804GiB ; elasticsearch=8.34%/1.522GiB / 4.804GiB ; zookeeper=0.10%/95.43MiB / 4.804GiB
13:14:20,14.6,73.4,526,31,kafka=0.62%/550.5MiB / 4.804GiB ; elasticsearch=2.40%/1.522GiB / 4.804GiB ; zookeeper=0.16%/95.43MiB / 4.804GiB
13:14:25,20.4,73.4,526,31,kafka=0.78%/550.5MiB / 4.804GiB ; elasticsearch=2.82%/1.522GiB / 4.804GiB ; zookeeper=0.12%/95.44MiB / 4.804GiB
13:14:29,12.7,73.4,526,30,kafka=0.62%/550.5MiB / 4.804GiB ; elasticsearch=6.96%/1.522GiB / 4.804GiB ; zookeeper=0.18%/95.44MiB / 4.804GiB
13:14:34,17.4,73.4,524,32,kafka=8.63%/549.7MiB / 4.804GiB ; elasticsearch=2.65%/1.522GiB / 4.804GiB ; zookeeper=0.11%/95.43MiB / 4.804GiB
