time,host_cpu_%,host_ram_%,gpu_mem_MB,gpu_util_%,docker
12:59:57,15.7,71.4,537,30,kafka=0.59%/540MiB / 4.804GiB ; elasticsearch=3.22%/1.515GiB / 4.804GiB ; zookeeper=0.13%/91.26MiB / 4.804GiB
13:00:01,15.9,71.4,537,29,kafka=49.57%/540.3MiB / 4.804GiB ; elasticsearch=3.51%/1.515GiB / 4.804GiB ; zookeeper=0.16%/91.26MiB / 4.804GiB
13:00:05,19.0,73.0,536,31,kafka=0.71%/540MiB / 4.804GiB ; elasticsearch=5.03%/1.515GiB / 4.804GiB ; zookeeper=0.56%/91.26MiB / 4.804GiB
13:00:10,19.9,72.2,537,27,kafka=40.86%/568.2MiB / 4.804GiB ; elasticsearch=2.66%/1.515GiB / 4.804GiB ; zookeeper=0.12%/91.26MiB / 4.804GiB
13:00:14,17.4,72.0,537,32,kafka=0.88%/540MiB / 4.804GiB ; elasticsearch=4.45%/1.515GiB / 4.804GiB ; zookeeper=0.51%/91.26MiB / 4.804GiB
13:00:19,16.6,72.0,538,30,kafka=0.83%/540MiB / 4.804GiB ; elasticsearch=2.65%/1.515GiB / 4.804GiB ; zookeeper=0.50%/91.26MiB / 4.804GiB
13:00:23,16.2,72.0,540,32,kafka=0.61%/540MiB / 4.804GiB ; elasticsearch=2.55%/1.515GiB / 4.804GiB ; zookeeper=0.48%/91.26MiB / 4.804GiB
13:00:27,18.1,72.2,538,30,kafka=0.77%/540MiB / 4.804GiB ; elasticsearch=9.75%/1.515GiB / 4.804GiB ; zookeeper=0.21%/91.26MiB / 4.804GiB
13:00:31,12.3,72.2,539,30,kafka=0.78%/540MiB / 4.804GiB ; elasticsearch=2.41%/1.515GiB / 4.804GiB ; zookeeper=0.10%/91.27MiB / 4.804GiB
13:00:35,19.8,72.3,536,30,kafka=0.72%/540MiB / 4.804GiB ; elasticsearch=3.03%/1.515GiB / 4.804GiB ; zookeeper=0.11%/91.26MiB / 4.804GiB
13:00:40,11.7,72.2,536,29,kafka=0.89%/540MiB / 4.804GiB ; elasticsearch=2.84%/1.515GiB / 4.804GiB ; zookeeper=0.11%/91.26MiB / 4.804GiB
13:00:44,16.6,72.1,537,29,kafka=1.01%/540MiB / 4.804GiB ; elasticsearch=11.54%/1.515GiB / 4.804GiB ; zookeeper=0.19%/91.51MiB / 4.804GiB
13:00:49,17.4,72.2,537,32,kafka=1.07%/540.8MiB / 4.804GiB ; elasticsearch=2.63%/1.516GiB / 4.804GiB ; zookeeper=0.12%/91.26MiB / 4.804GiB
13:00:53,12.9,72.2,539,31,kafka=0.75%/540.8MiB / 4.804GiB ; elasticsearch=1.97%/1.515GiB / 4.804GiB ; zookeeper=0.10%/91.26MiB / 4.804GiB
13:00:57,19.5,72.3,537,30,kafka=0.68%/540.8MiB / 4.804GiB ; elasticsearch=2.51%/1.516GiB / 4.804GiB ; zookeeper=0.11%/91.26MiB / 4.804GiB
13:01:01,9.7,72.3,536,30,kafka=0.77%/540.8MiB / 4.804GiB ; elasticsearch=4.13%/1.515GiB / 4.804GiB ; zookeeper=0.12%/91.26MiB / 4.804GiB
13:01:05,17.4,72.3,536,31,kafka=13.30%/540.8MiB / 4.804GiB ; elasticsearch=3.14%/1.515GiB / 4.804GiB ; zookeeper=0.54%/91.26MiB / 4.804GiB
13:01:10,19.5,72.1,536,29,kafka=0.73%/540.8MiB / 4.804GiB ; elasticsearch=3.78%/1.515GiB / 4.804GiB ; zookeeper=0.10%/91.26MiB / 4.804GiB
13:01:14,13.0,71.8,522,29,kafka=1.22%/540.8MiB / 4.804GiB ; elasticsearch=2.47%/1.515GiB / 4.804GiB ; zookeeper=0.11%/91.26MiB / 4.804GiB
13:01:19,21.4,71.9,523,34,kafka=0.74%/540.8MiB / 4.804GiB ; elasticsearch=2.64%/1.515GiB / 4.804GiB ; zookeeper=0.12%/91.26MiB / 4.804GiB
13:01:23,10.5,71.8,523,31,kafka=0.84%/541MiB / 4.804GiB ; elasticsearch=2.58%/1.515GiB / 4.804GiB ; zookeeper=0.24%/91.26MiB / 4.804GiB
13:01:27,18.4,71.8,521,29,kafka=1.47%/541.2MiB / 4.804GiB ; elasticsearch=2.75%/1.515GiB / 4.804GiB ; zookeeper=0.10%/91.26MiB / 4.804GiB
